1 1.00000000e+00
2 4.90332376e-01
3 2.75644051e-01
4 1.87561491e-01
5 1.45743947e-01
6 1.22117312e-01
7 1.06688764e-01
8 9.54872263e-02
9 8.67321643e-02
10 7.95430672e-02
11 7.34114449e-02
12 6.80025553e-02
13 6.30888058e-02
14 5.85358634e-02
15 5.42750247e-02
16 5.02747828e-02
17 4.65211121e-02
18 4.30064100e-02
19 3.97242081e-02
20 3.66670886e-02
21 3.38261769e-02
22 3.11913077e-02
23 2.87514171e-02
24 2.64949552e-02
25 2.44102393e-02
26 2.24857257e-02
27 2.07102050e-02
28 1.90729327e-02
29 1.75637091e-02
30 1.61729227e-02
31 1.48915658e-02
32 1.37112322e-02
33 1.26241018e-02
34 1.16229178e-02
35 1.07009581e-02
36 9.85200543e-03
37 9.07031506e-03
38 8.35058377e-03
39 7.68791883e-03
40 7.07780853e-03
41 6.51609407e-03
42 5.99894305e-03
43 5.52282466e-03
44 5.08448647e-03
45 4.68093293e-03
46 4.30940531e-03
47 3.96736318e-03
48 3.65246733e-03
49 3.36256385e-03
50 3.09566958e-03
51 2.84995861e-03
52 2.62374984e-03
53 2.41549550e-03
54 2.22377064e-03
55 2.04726336e-03
56 1.88476586e-03
57 1.73516619e-03
58 1.59744065e-03
59 1.47064677e-03
60 1.35391688e-03
61 1.24645219e-03
62 1.14751730e-03
63 1.05643518e-03
64 9.72582532e-04
